"name_en","postcode","latitude","longitude"
"Poddala","80170","6.10846880","80.22376600"
"Polgampola","12136","6.46518930","80.19612050"
"Porawagama","80408","6.28720780","80.22494260"
"Rantotuwila","80354","6.05351850","80.22097730"
"Talagampola","80058","6.08706280","80.30354180"
"Talgaspe","80406","6.05423480","80.22446310"
"Talpe","80615","6.00099540","80.27812620"
"Tawalama","80148","6.33472690","80.34219840"
"Tiranagama","80244","6.12857980","80.11121550"
"Udalamatta","80108","6.18359350","80.29825070"
"Udugama","80070","6.21790470","80.33802130"
"Uluvitike","80168","6.08339890","80.21121640"
"Unawatuna","80600","6.01744690","80.24885960"
"Unawitiya","80214","6.05351850","80.22097730"
"Uragaha","80352","6.34904400","80.09786370"
"Uragasmanhandiya","80350","6.34904400","80.09786370"
"Wakwella","80042","6.09216840","80.19029630"
"Walahanduwa","80046","6.05155910","80.25722250"
"Wanchawela","80120","6.03571080","80.26859670"
"Wanduramba","80100","6.13247130","80.24885960"
"Warukandeniya","80084","6.36610380","80.40483060"
"Watugedara","80340","6.26121210","80.06047740"
"Weihena","80216","6.30777980","80.23491960"
"Welikanda","51070","7.94596540","81.24912980"
"Wilanagama","20142","6.00417960","80.41381130"
"Yakkalamulla","80150","6.10134950","80.35910020"
"Yatalamatta","80107","6.17373330","80.28648620"
"Akaragama","11536","7.27348030","79.95704110"
"Ambagaspitiya","11052","7.08445090","80.06533660"
"Ambepussa","11212","7.25610360","80.16932850"
"Andiambalama","11558","7.17881270","79.90685340"
"Attanagalla","11120","7.11374270","80.13550050"
"Badalgama","11538","7.28865230","79.98081430"
"Banduragoda","11244","7.22779350","80.05768340"
"Batuwatta","11011","7.06225400","79.94123680"
"Bemmulla","11040","7.11313180","80.02718930"
"Biyagama IPZ","11672","6.96228400","80.00903670"
"Bokalagama","11216","7.21532070","80.10292600"
"Bollete (WP)","11024","7.08404840","80.00983140"
"Bopagama","11134","7.07130690","80.16369600"
"Buthpitiya","11720","7.05470030","80.05322640"
"Dagonna","11524","7.21005490","79.91647170"
"Danowita","11896","7.22087770","80.16797580"
"Debahera","11889","7.15797470","80.14983620"
"Dekatana","11690","6.97023240","80.04241920"
"Delgoda","11700","6.98928850","80.01437660"
"Delwagura","11228","7.26524820","80.00597900"
"Demalagama","11692","6.99127630","80.05209520"
"Demanhandiya","11270","7.22438790","79.88451350"
"Dewalapola","11102","7.16120370","79.99199950"
"Divulapitiya","11250","7.23031430","80.01647400"
"Divuldeniya","11208","7.28072540","80.04371230"
"Dompe","11680","6.94039470","80.07719620"
"Dunagaha","11264","7.22205330","79.97801780"
"Ekala","11380","7.10229130","79.90947510"
"Ellakkala","11116","7.14166500","80.13308850"
"Essella","11108","7.17651350","80.02546960"
"Galedanda","90206","6.96486420","79.93186230"
"Gampaha","11000","7.08404840","80.00983140"
"Ganemulla","11020","7.08271900","79.94825480"
"Giriulla","60140","7.34867490","80.13801950"
"Gonawala","11630","6.95417030","79.93661870"
"Halpe","70145","7.26221070","79.92906420"
"Hapugastenna","70164","6.74054400","80.18881730"
"Heiyanthuduwa","11618","6.97187680","79.97376420"
"Hinatiyana Madawala","11568","7.15015720","79.91227380"
"Hiswella","11734","7.02015740","80.16379010"
"Horampella","11564","7.17023150","79.97941610"
"Hunumulla","11262","7.23365100","79.98930900"
"Hunupola","60582","7.61421880","80.38952480"
"Ihala Madampella","11265","7.24895350","79.95371930"
"Imbulgoda","11856","7.08704600","80.01751040"
"Ja-Ela","11350","7.08575960","79.92544450"
"Kadawatha","11850","7.00467190","79.95420020"
"Kahatowita","11144","7.09745510","80.11223900"
"Kalagedihena","11875","7.12014350","80.05908040"
"Kaleliya","11160","7.19702310","80.11075310"
"Kandana","11320","7.04778970","79.89703480"
"Katana","11534","7.24802840","79.89936650"
"Katudeniya","21016","7.43831900","80.64154520"
"Katunayake","11450","7.17248490","79.88534840"
"Katunayake Air Force Camp","11440","7.18282930","79.86773900"
"Katunayake(FTZ)","11420","7.17366030","79.88688610"
"Katuwellegama","11526","7.19971330","79.94976680"
"Kelaniya","11600","6.97821370","79.91155220"
"Kimbulapitiya","11522","7.20424070","79.89408060"
"Kirindiwela","11730","7.04118250","80.12893240"
"Kitalawalana","11206","7.29093330","80.11424340"
